OrderID,CustomerID,UnitsOrdered,Discount,Description,Gender,UnitPrice,Name,City,State,full_date,year,month,day,Revenue
1922,2,48,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-04-02,2016,4,2,1200.0
1935,2,57,0.100000001,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-04-10,2016,4,10,142.500001425
1968,2,139,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-05-06,2016,5,6,3475.0
2107,2,145,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-09-01,2016,9,1,3625.0
2148,2,36,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-10-05,2016,10,5,900.0
2178,2,70,0.0,Long-sleeve Oxford,Male,25,A Shirts Life,Portland,OR,2016-10-21,2016,10,21,1750.0
24,2,134,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2012-01-16,2012,1,16,3618.0
198,2,120,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2012-06-02,2012,6,2,3240.0
229,2,142,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2012-06-23,2012,6,23,3834.0
255,2,38,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2012-07-16,2012,7,16,1026.0
324,2,30,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2012-09-08,2012,9,8,810.0
626,2,140,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2013-05-11,2013,5,11,3780.0
748,2,128,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2013-08-28,2013,8,28,3456.0
1092,2,147,0.050000001,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-05-23,2014,5,23,198.45000396900002
1150,2,135,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-07-06,2014,7,6,3645.0
1191,2,108,0.050000001,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-07-27,2014,7,27,145.800002916
1266,2,133,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-09-18,2014,9,18,3591.0
1286,2,145,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-10-03,2014,10,3,3915.0
1298,2,116,0.050000001,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2014-10-08,2014,10,8,156.600003132
1615,2,96,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-07-07,2015,7,7,2592.0
1650,2,79,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-08-12,2015,8,12,2133.0
1659,2,95,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-08-16,2015,8,16,2565.0
1682,2,65,0.050000001,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-09-06,2015,9,6,87.750001755
1693,2,94,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-09-13,2015,9,13,2538.0
1763,2,84,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2015-11-18,2015,11,18,2268.0
1830,2,62,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2016-01-12,2016,1,12,1674.0
1847,2,98,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2016-01-25,2016,1,25,2646.0
2001,2,113,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2016-06-03,2016,6,3,3051.0
2054,2,47,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2016-07-08,2016,7,8,1269.0
2239,2,101,0.0,Long-sleeve Broadcloth,Female,27,A Shirts Life,Portland,OR,2016-12-20,2016,12,20,2727.0
97,2,145,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-03-19,2012,3,19,4350.0
112,2,75,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-03-29,2012,3,29,2250.0
174,2,134,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-05-18,2012,5,18,4020.0
312,2,38,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-09-02,2012,9,2,1140.0
329,2,77,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-09-12,2012,9,12,2310.0
361,2,34,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2012-10-08,2012,10,8,1020.0
474,2,102,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-01-02,2013,1,2,3060.0
508,2,65,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-01-26,2013,1,26,1950.0
539,2,135,0.150000006,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-02-21,2013,2,21,607.5000243
616,2,149,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-05-04,2013,5,4,4470.0
673,2,96,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-06-23,2013,6,23,2880.0
741,2,37,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-08-20,2013,8,20,1110.0
772,2,64,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-09-18,2013,9,18,1920.0
792,2,56,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-10-03,2013,10,3,1680.0
855,2,64,0.150000006,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2013-11-24,2013,11,24,288.00001152
913,2,111,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-01-11,2014,1,11,3330.0
917,2,59,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-01-16,2014,1,16,1770.0
975,2,53,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-02-17,2014,2,17,1590.0
1099,2,148,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-05-28,2014,5,28,4440.0
1100,2,126,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-05-29,2014,5,29,3780.0
1198,2,39,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-07-29,2014,7,29,1170.0
1211,2,77,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-08-06,2014,8,6,2310.0
1215,2,147,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-08-07,2014,8,7,4410.0
1267,2,126,0.050000001,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-09-19,2014,9,19,189.00000378000001
1335,2,90,0.050000001,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-11-06,2014,11,6,135.0000027
1338,2,147,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2014-11-10,2014,11,10,4410.0
1410,2,72,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2015-01-17,2015,1,17,2160.0
1694,2,45,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2015-09-14,2015,9,14,1350.0
1704,2,122,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2015-09-21,2015,9,21,3660.0
1771,2,142,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2015-11-24,2015,11,24,4260.0
1775,2,63,0.150000006,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2015-11-25,2015,11,25,283.50001133999996
1836,2,147,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-01-18,2016,1,18,4410.0
1859,2,50,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-01-31,2016,1,31,1500.0
1886,2,68,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-03-04,2016,3,4,2040.0
2080,2,90,0.050000001,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-08-02,2016,8,2,135.0000027
2228,2,71,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-12-12,2016,12,12,2130.0
2244,2,87,0.0,Short-sleeve Polo,Both,30,A Shirts Life,Portland,OR,2016-12-28,2016,12,28,2610.0
4,2,99,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2012-01-03,2012,1,3,2772.0
17,2,147,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2012-01-15,2012,1,15,4116.0
37,2,129,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2012-01-25,2012,1,25,3612.0
250,2,43,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2012-07-09,2012,7,9,1204.0
475,2,100,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-01-03,2013,1,3,2800.0
480,2,137,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-01-06,2013,1,6,3836.0
501,2,50,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-01-21,2013,1,21,1400.0
506,2,52,0.100000001,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-01-25,2013,1,25,145.600001456
649,2,117,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-05-29,2013,5,29,3276.0
660,2,93,0.100000001,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-06-17,2013,6,17,260.400002604
802,2,43,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-10-09,2013,10,9,1204.0
885,2,78,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2013-12-24,2013,12,24,2184.0
1076,2,110,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-05-13,2014,5,13,3080.0
1154,2,127,0.150000006,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-07-08,2014,7,8,533.400021336
1220,2,92,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-08-12,2014,8,12,2576.0
1239,2,98,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-08-29,2014,8,29,2744.0
1274,2,78,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-09-24,2014,9,24,2184.0
1277,2,36,0.100000001,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2014-09-26,2014,9,26,100.80000100800001
1576,2,94,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2015-06-06,2015,6,6,2632.0
1636,2,124,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2015-07-25,2015,7,25,3472.0
1715,2,74,0.100000001,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2015-10-02,2015,10,2,207.20000207200002
1921,2,28,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2016-04-02,2016,4,2,784.0
2122,2,54,0.150000006,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2016-09-12,2016,9,12,226.800009072
2187,2,76,0.0,Long-sleeve Tunic,Female,28,A Shirts Life,Portland,OR,2016-11-04,2016,11,4,2128.0
61,2,135,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-02-17,2012,2,17,2160.0
90,2,76,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-03-14,2012,3,14,1216.0
115,2,131,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-03-31,2012,3,31,2096.0
161,2,65,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-05-06,2012,5,6,1040.0
321,2,93,0.050000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-09-07,2012,9,7,74.400001488
421,2,43,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2012-11-22,2012,11,22,688.0
592,2,148,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2013-04-13,2013,4,13,2368.0
641,2,98,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2013-05-22,2013,5,22,1568.0
650,2,128,0.100000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2013-06-04,2013,6,4,204.800002048
728,2,51,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2013-08-12,2013,8,12,816.0
946,2,55,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-02-04,2014,2,4,880.0
1013,2,28,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-03-21,2014,3,21,448.0
1024,2,84,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-03-30,2014,3,30,1344.0
1067,2,97,0.150000006,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-05-05,2014,5,5,232.800009312
1091,2,54,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-05-23,2014,5,23,864.0
1219,2,93,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-08-11,2014,8,11,1488.0
1374,2,125,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-12-08,2014,12,8,2000.0
1388,2,102,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2014-12-28,2014,12,28,1632.0
1435,2,52,0.150000006,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2015-02-04,2015,2,4,124.800004992
1441,2,116,0.100000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2015-02-06,2015,2,6,185.600001856
1489,2,99,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2015-03-18,2015,3,18,1584.0
1686,2,134,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2015-09-09,2015,9,9,2144.0
1878,2,125,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-02-21,2016,2,21,2000.0
1882,2,84,0.100000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-02-25,2016,2,25,134.400001344
1914,2,80,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-03-26,2016,3,26,1280.0
1934,2,101,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-04-10,2016,4,10,1616.0
2007,2,117,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-06-06,2016,6,6,1872.0
2033,2,102,0.100000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-06-25,2016,6,25,163.200001632
2068,2,63,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-07-23,2016,7,23,1008.0
2096,2,55,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-08-14,2016,8,14,880.0
2153,2,32,0.050000001,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-10-07,2016,10,7,25.600000512
2198,2,71,0.0,Sleeveless Top,Female,16,A Shirts Life,Portland,OR,2016-11-14,2016,11,14,1136.0
6,2,41,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-01-05,2012,1,5,902.0
82,2,50,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-03-08,2012,3,8,1100.0
83,2,135,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-03-10,2012,3,10,2970.0
143,2,145,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-04-22,2012,4,22,3190.0
148,2,148,0.050000001,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-04-24,2012,4,24,162.800003256
238,2,31,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-06-30,2012,6,30,682.0
362,2,130,0.050000001,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-10-08,2012,10,8,143.00000286
420,2,45,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2012-11-22,2012,11,22,990.0
569,2,150,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-03-19,2013,3,19,3300.0
617,2,75,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-05-06,2013,5,6,1650.0
655,2,113,0.100000001,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-06-10,2013,6,10,248.60000248600002
732,2,106,0.050000001,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-08-15,2013,8,15,116.600002332
800,2,88,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-10-08,2013,10,8,1936.0
801,2,108,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-10-09,2013,10,9,2376.0
856,2,45,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-11-27,2013,11,27,990.0
860,2,69,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2013-11-30,2013,11,30,1518.0
921,2,115,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-01-19,2014,1,19,2530.0
977,2,134,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-02-19,2014,2,19,2948.0
980,2,146,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-02-20,2014,2,20,3212.0
1072,2,67,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-05-10,2014,5,10,1474.0
1125,2,64,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-06-19,2014,6,19,1408.0
1128,2,53,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-06-21,2014,6,21,1166.0
1271,2,79,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-09-22,2014,9,22,1738.0
1341,2,143,0.150000006,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-11-11,2014,11,11,471.900018876
1371,2,122,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-12-06,2014,12,6,2684.0
1392,2,104,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2014-12-31,2014,12,31,2288.0
1517,2,119,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-04-14,2015,4,14,2618.0
1565,2,43,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-05-25,2015,5,25,946.0
1593,2,127,0.150000006,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-06-20,2015,6,20,419.100016764
1595,2,101,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-06-22,2015,6,22,2222.0
1628,2,124,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-07-19,2015,7,19,2728.0
1710,2,45,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-09-26,2015,9,26,990.0
1728,2,75,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-10-13,2015,10,13,1650.0
1761,2,144,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2015-11-15,2015,11,15,3168.0
1844,2,85,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2016-01-24,2016,1,24,1870.0
1920,2,133,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2016-04-02,2016,4,2,2926.0
2041,2,74,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2016-07-01,2016,7,1,1628.0
2047,2,137,0.0,Long-sleeve Super-T,Both,22,A Shirts Life,Portland,OR,2016-07-03,2016,7,3,3014.0
141,2,106,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-04-21,2012,4,21,3710.0
163,2,112,0.050000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-05-11,2012,5,11,196.00000392
202,2,58,0.050000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-06-04,2012,6,4,101.50000203
241,2,69,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-07-02,2012,7,2,2415.0
316,2,98,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-09-04,2012,9,4,3430.0
383,2,31,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-10-23,2012,10,23,1085.0
389,2,143,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-10-29,2012,10,29,5005.0
402,2,91,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-11-09,2012,11,9,3185.0
439,2,134,0.100000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2012-12-02,2012,12,2,469.00000469
482,2,123,0.150000006,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-01-08,2013,1,8,645.7500258299999
547,2,36,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-02-27,2013,2,27,1260.0
570,2,49,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-03-19,2013,3,19,1715.0
580,2,45,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-03-31,2013,3,31,1575.0
636,2,149,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-05-18,2013,5,18,5215.0
685,2,30,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2013-07-06,2013,7,6,1050.0
938,2,133,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-01-30,2014,1,30,4655.0
1102,2,143,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-05-30,2014,5,30,5005.0
1119,2,115,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-06-13,2014,6,13,4025.0
1177,2,113,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-07-16,2014,7,16,3955.0
1196,2,99,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-07-28,2014,7,28,3465.0
1205,2,136,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-08-03,2014,8,3,4760.0
1229,2,65,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-08-23,2014,8,23,2275.0
1245,2,71,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-09-04,2014,9,4,2485.0
1326,2,97,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2014-11-01,2014,11,1,3395.0
1452,2,148,0.100000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-02-14,2015,2,14,518.00000518
1572,2,145,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-06-01,2015,6,1,5075.0
1590,2,60,0.100000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-06-19,2015,6,19,210.00000210000002
1689,2,108,0.050000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-09-12,2015,9,12,189.00000378000001
1772,2,29,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-11-24,2015,11,24,1015.0
1807,2,111,0.050000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2015-12-21,2015,12,21,194.250003885
1841,2,33,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-01-22,2016,1,22,1155.0
1887,2,37,0.150000006,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-03-04,2016,3,4,194.25000777
1911,2,136,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-03-24,2016,3,24,4760.0
1931,2,74,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-04-09,2016,4,9,2590.0
2040,2,150,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-06-30,2016,6,30,5250.0
2085,2,114,0.100000001,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-08-06,2016,8,6,399.00000399000004
2131,2,51,0.0,Long-sleeve Silk Pinpoint,Male,35,A Shirts Life,Portland,OR,2016-09-22,2016,9,22,1785.0
